CODE,DESC,SHORTDESC,FINE
P215,METER BALL PARK EVENT FAIL TO DEPOSIT COIN,MTR B FAIL DEP COIN,50.0
P216,FAIL TO DISPLAY MULTI SPACE RECEIPT BALLPARKEVENT,FAIL DISP MULTI RCPT,100.0
P217,OVERSIZED VEHICLE AT METER BALL PARK EVENT,OVRSZD VEH METER BE,50.0
P218,OVERTIME BALL PARK EVENT,OVERTIME BE,50.0
P232,TAXICAB FAIL TO DISPLAY PROPER INSIGNIA,FAIL DISP PROP INSIG,25.0
P239,EXPIRED HANDICAP METER,EXPIRED METER HANDCP,25.0
P250,FAIL TO SECURE TAGS IN THE DISTRICT OF COLUMBIA,TAGS FAIL SEC IN DC,50.0
P259,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,NO STP/STND PM RUSH,100.0
P261,NO SNOW TIRES OR CHAINS,NO SNO TIRES/CHAINS,10.0
P262,NO SNOW TIRES OR CHAINS,SNO TIRE/CHAIN NONE,10.0
P269,NO STANDING ANYTIME,NO STANDING ANYTIME,50.0
P270,NO STOPPING OR STANDING ANYTIME,NO STOPING/STANDING,50.0
P271,NO STOPPING ANYTIME,NO STOPPING,50.0
P276,MOVING A LOAD OVER EIGHT FEET WIDE,LOAD OVR 8' WIDE MOV,25.0
P278,FAIL TO DISPLAY MULTI-SPACE METER RECEIPT PROPERLY,FAIL DISP RCPT PROP,50.0
P279,OVERTIME PARKING IN A LOADING ZONE METER SPACE,OT PKG LD ZNE MTR SP,50.0
P280,EXPIRATION TIME ON METER RECEIPT LAPSED,EXPIRED METER RCPT,25.0
P281,FAIL TO DISPLAY A MULTISPACE METER RECEIPT,FAIL DISP MULTI RCPT,25.0
P282,PARKED IN A RESERVED CAR SHARING SPACE,PK CAR SHARE SPACE,100.0
P283,PARK GREATER THAN FIVE FEET FROM A CAB STAND,PK GT 5' FR CAB STND,5.0
P284,EXPIRED MULTISPACE METER RECEIPT IN LOADING ZONE,EXP MTR RCPT IN L/Z,50.0
P285,FAIL TO DISPLAY METER RECEIPT IN A LOADING ZONE,FAIL DSP MTR RCPT LZ,50.0
P286,IMPROP DISPLAY MULTISPACE RCPT IN LOADING ZONE,IMPR DISP RCPT IN LZ,50.0
P287,OVERTIME AT A MULTISPACE METER IN A LOADING ZONE,OVERTIME IN MTR L/Z,50.0
P288,ILLEGAL AT METER,ILLEGAL AT METER,25.0
P289,FAIL TO PROPERLY DISPLAY MULTISPACE METER RECEIPT,IMPROP DISPL MULTI R,50.0
P300,FAIL TO TURN WHEEL TO CURB.,CURB FAIL TURN WHEEL,20.0
P301,PARK AT CURB IN LOADING ZONE,CURB PARK IN LOADZNE,50.0
P302,GOVERNMENT VEHICLE PARKING ONLY,GOVT VEHICLES ONLY,25.0
P303,RESERVED RESIDENTIAL SPACE PERSONS W/ DISABILTIES,RESVD RESID SP DISAB,250.0
P304,INDIVID W/ DISABILITIES ONLY UNAUTH. USE RSRVD SP,IND. W/ DISAB. ONLY,250.0
P305,PARK WITHIN 25 FEET OF A MAILBOX,MAIL BOX 25' OF,20.0
P306,PARK ON MEDIAN ISLAND OR SAFETY ZONE,MEDN ISLND SAFTZ ON,100.0
P307,PARK IN RESERVED SPACE FOR MOTORCYCLES ONLY,RESVD SPACE MOTRCYCL,25.0
P308,PARK WITHIN FIFTY FEET OF A RAILROAD CROSSING,RR XING IN 50',20.0
P309,FAIL TO DISPLAY RESIDENTIAL PARKING PERMIT,RESID PK PMT NO DISP,15.0
P310,FAIL TO REMOVE EXPIRED RESIDENTIAL PARKING PERMIT,RPP FAIL REM EXP STK,15.0
P311,PARK BETWEEN ISLAND OR SAFETY ZONE,SFTY/ZNE/ISLAND BET,20.0
P312,PARK WITHIN TWENTY FIVE FEET FROM A YIELD SIGN,YIELD SIGN 25 FT,20.0
P313,FAIL TO DISPLAY RECIPROCITY STICKER,RECIPROCITY NO DISP,50.0
P314,FAIL TO PROPERLY AFFIX VALIDATION STICKERS,FAIL PROP AFFIX STK,50.0
P315,ILLEGIBLE TAGS.,TAGS ILLEGIBLE,50.0
P316,IMPROPER DISPLAY OF TAGS,TAGS IMPROP DISPLAY,50.0
P318,PARK IN MEDIAN ISLAND OR SAFETY ZONE,MEDIAN/ISLND/SFTZ IN,35.0
P319,PARK IN BUS STOP OR ZONE DURING RUSH HOUR,BUS STOP ZNE RUSH HR,50.0
P320,PARKED IN DRIVEWAY OR ALLEY TO OBSTRUCT SIDEWALK,PK DWY ALLEY OB SDWK,50.0
P321,FAIL TO SET EMERGENCY BRAKE,EMERG BRAKE NOT SET,50.0
P322,PARK OVERTIME IN TIMED ZONE,OVERTIME TIME ZONE,25.0
P325,TAXICAB FAIL TO HAVE INSURANCE STICKER,TAXI NO INSURE STICK,5.0
P326,MOTOR CARRIER DRIVER VIOLATION OUT OF SERVICE,OUT OF SERVICE- DRVR,100.0
P327,MOTOR CARRIER VEHICLE VIOLATION OUT OF SERVICE,OUT OF SERVICE -VEHI,100.0
P328,MOTOR CARRIER HAZMAT VIOLATION OUT OF SERVICE,OUT OF SERVICE- HZRD,100.0
P329,MOTOR CARRIER VIOLATION OUT OF SERVICE,OUT OF SERVICE- OTHR,100.0
P330,PERMIT UNLICENSED HACKER,PERMIT UNLICN HACKER,500.0
P331,TINTED WINDOWS,TINTED WINDOWS,50.0
P332,ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 1,ABND VH PUB/PRV PRP1,250.0
P333,ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 2,ABND VH PUB/PRV PRP2,500.0
P334,ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 3,ABND VH PUB/PRV PRP3,1000.0
P335,ABANDON VEH PRIV/PUBLIC PROP SOLID WASTE/RAT,ABNVH PUB/PRV PR SW1,350.0
P336,ABANDON VEH PRIV/PUBLIC PROP SOLID WASTE/RAT,ABNVH PUB/PRV PR SW2,600.0
P337,ABANDON VEH PRIV/PUBLIC PROP SOLID WASTE/RAT,ABNVH PUB/PRV PR SW3,1100.0
P338,DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 1,DANG VH PUB/PRV PRP1,250.0
P339,DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 2,DANG VH PUB/PRV PRP2,500.0
P340,DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 3,DANG VH PUB/PRV PRP3,1000.0
P341,DANGEROUS VEH ON PRIV/PUBLIC PROP S/W VIOL 1,DNGVH PUB/PRV PR SW1,350.0
P342,DANGEROUS VEH ON PRIV/PUBLIC PROP S/W VIOL 2,DNGVH PUB/PRV PR SW2,600.0
P343,DANGEROUS VEH ON PRIV/PUBLIC PROP S/W VIOL 3,DNGVH PUB/PRV PR SW3,1100.0
P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,VEH PRI PROP W/O CST,250.0
P346,VALET PARKING/STAGING ZONE,VALET PARKING ZONE,100.0
P360,COMMERCIAL MOTOR VEHICLE - OUT OF SERVICE,CMV-OUT OF SERVICE,100.0
P361,COMMERCIAL MOTOR VEHICLE - NOT OUT OF SERVICE,CMV - NOT OUT SERVIC,100.0
P362,METER ADD'L PAYMENT TO EXTEND TIME BEYOND LIMIT BZ,MTR EXTEND TIME BZ,15.0
P363,RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR,RPP 2ND OFF CAL. YR,30.0
P364,METER ILLEGAL PARKING IN BALLPARK ZONE,MTR ILLEGAL PRK BPRK,25.0
P365,RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR,RPP 3RD OFF. CAL. YR,60.0
P366,FAIL TO DISPLAY MULTI-SPACE PARKING METER RCPT BZ,NO MULTI SPACE RCPT,50.0
P367,RESIDENTIAL PMT PKG BALLPARK ZONE 2ND OFF CAL YR,RPP BALLPK ZN 2D OF,30.0
P368,METER FAILURE TO DEPOSIT PAYMENT BALLPARK ZONE,METER FAIL DEP PYMT,25.0
P369,RPP BALLPARK ZONE 3RD OFFENSE CALENDAR YEAR,RPP BALLPK ZN 3D OFF,60.0
P370,FAILURE TO DISPLAY MULI-SPACE RECEIPT PROPERLY BZ,IMPROP DISPLAY MTR,50.0
P371,FAIL DISPLAY MULTI SPACE RECEIPT PROPERLY BE,MTR IMPROP DISP RCPT,100.0
P372,DISPLAY METER RCPT FROM MTR OUTSIDE AREA BZ,WRONG MTR RCPT,30.0
P373,NOT PARKED IN PARKING METER SPACE BZ,NOT IN METERED SPACE,25.0
P374,DISPLAY METER RECEIPT FROM MTR OUTSIDE AREA BE,WRONG MTR RECEIPT,60.0
P376,NO RED FLAG ON THE END OF A LOAD,LOAD NO RED FLAG/END,25.0
P385,STOPPING STANDING OR PARKING VEHICLE IN BIKE LANE,STOP/STAND BIKE LANE,65.0
P386,RELOCATE TOW FEE,RELOCATION TOW,100.0
P387,NOT PARKED IN PARKING METER SPACE BE,NOT PARK METER SPACE,50.0
P388,OBTAIN ADD METER RCPT FOR VEH TO EXTEND TIME BZ,ADD MTR RECPT,30.0
P389,OBTAIN ADD MTR RCPT FOR VEH TO EXTEND TIME BE,ADD MTR RCPT BE,60.0
P390,OVERSIZED VEHICLE AT METER BZ,OVERSIZE VEH MTR BZ,25.0
P391,RPP BALLPARK EVENTS 2ND OFFENSE CALENDAR YEAR,RPP BE 2D OFF CAL YR,60.0
P392,OVERTIME AT METER BZ,OVERTIME AT MTR BZ,25.0
P393,OVERTIME AT METER BALLPARK EVENT,OVERTIME AT METER BE,50.0
P394,METER OVERTIME PARKING IN LOADING ZONE BE,METER PRK LOAD ZONE,50.0
P395,RPP BEYOND 2 HOUR PERIOD W/O VALID PERMIT BE,RPP W/O VALID PMT,30.0
P396,RPP BEYOND 2 HOUR PERIOD W/O VALID PERMIT BZ,RPP W/O PMT,60.0
P397,RPP IMPROPER USE OF VISITOR PERMIT BZ,IMPROP USE VISIT PMT,30.0
P398,RPP IMPROPER USE OF VISITOR PERMIT BE,IMPROP USE VISIT PMT,30.0
P399,RPP FAIL TO REMOVE EXPIRED STICKER BALL PARK ZONE,RPP EXPIRED STK,15.0
P400,RPP FAIL TO REMOVE EXPIRED STICKER BALLPARK EVENTS,RPP EXPIRED STK,15.0
P401,RPP FAIL TO PROPERLY DISPLAY CURRENT STICKER BZ,RPP PROP DISPLAY STK,15.0
P402,RPP FAIL TO PROPERLY DISPLAY CURRENT STICKER BE,RPP PROP DISPLAY STK,15.0
P403,NO PARKING EXC. ELECTRIC VEHICLE BEING CHARGED,NO PK EXC. ELECT VEH,100.0
P404,TINTED WINDOWS FAIL TO COMPLY 1ST,TINTED WINDOWS,1000.0
P405,TINTED WINDOWS FAIL TO COMPLY 2ND,TINT WINDOWS 2ND VIO,5000.0
P406,EXPIRATION TIME ON METER RECEIPT LAPSED BZ,EXPIRED MTR RCPT BZ,25.0
P407,EXPIRATION TIME ON METER RECEIPT LAPSED BE,EXPIRED MTR RCPT BE,100.0
P408,RESIDENTIAL PMT PKG 3RD OFFENSE BALLPARK EVENT,RPP 3RD OFF BE,60.0
P409,VEH >15 PASS PUBLIC ST FRT DWELLING SCH HOSP,VEH. > 15 PASS,1000.0
P410,VEHICLE > 22' PUBLIC ST FRT DWELLINGSCHOOL HOSP,VEHICLE > 22 FEET,1000.0
P411,VEH > 8' WIDE PUBLIC ST FRT DWELLING SCHOOLHOSP,VEHICLE > 8 FT WIDE,1000.0
P412,VEHICLE HAUL TRASH DEBRIS OR JUNK,VEH. HAUL TRASH,1000.0
P413,TRAILER FRT DWELLING SCHOOL HOSPITAL,TRAILER,1000.0
P414,VEHICLE ON PRIVATE/PUBLIC PROP W/O CONSENT 2D OFF,VEH PRI PROP W/O CST,500.0
P415,VEHICLE ON PRIVATE/PUBLIC PROP W/O CONSENT 3D OFF,VEH PRI PROP W/O CST,1000.0
P416,LIMOUSINE PARKED ON HACK STAND,LIMO ON HACK STAND,50.0
P417,NON-TAXI ON HACK STAND,NON-TAXI ON HACK STD,25.0
P418,STREETCAR-PARK STOP STAND VEH GUIDEWAY/PLATFORM,STREETCAR - GUIDEWAY,100.0
P419,STREETCAR-PARK STOP STAND VEH GUIDEWAY/PLATFORM,STREETCAR - PLATFORM,100.0
P420,COMMERCIAL PERMIT PARKING DECAL DISPLAY EXPIRED,COMM. PRK PMT EXP.,50.0
P421,COMMERCIAL PMT PARK DECAL FAIL DISPLAY PROPERLY,COMM PRK PMT FAIL,50.0
P422,COMMERCIAL PERMIT PARKING DAY PASS DISPLAY EXPIRE,COMM DAY PASS EXP,50.0
P423,COMMERICAL PEMIT PARK DAY PASS FAIL TO DISPLAY,COMM DAY PASS,50.0
P424,CMV- NON LOAD ZONE METER SPACE PROHIBITED TIMES,CMV NON LOAD MTR,50.0
P425,CMV- NON LOAD ZONE METER W/O ANNUAL OR DAY PASS,CMV NO PASS,50.0
P426,CMV- LOADING ZONE W/O ANNUAL OR DAY PASS,CMV IN LZ NO PASS,100.0
P427,LOADING ZONE OVERTIME PARKING BY CMV VALID DECAL,LZ CMV OVERTIME,50.0
P675,TAXICAB CRUISING LIGHTS,TAXI CRUISING LIGHTS,50.0
T005,FAIL TO HAVE LICENSE,FAIL TO HAVE LICENS,50.0
T008,COLLIDING WITH FIXED OBJECT W/NO DAMAGE OR INJURY,COLISION NO DAM/INJU,50.0
T011,FAIL TO YIELD TO PEDESTRIAN AT NON-SIGNALIZED SITE,FAIL YLD PED NOT/CW,250.0
T012,FAIL TO STOP OUT OF AN ALLEY,ALLEY NO STOP OUT OF,25.0
T013,FAIL TO PAY ATTENTION WHILE OPERATING A VEHICLE,ATENTION NO/OPER VEH,25.0
T014,FAIL TO SECURE LOAD ON VEHICLE,LOADS FAIL TO SECURE,150.0
T016,SECURE A PERMIT USING A FALSE STATEMENT,PMT FLSE STMT/SECURE,100.0
T017,BACKING TO TURN,BACKING TO TURN,25.0
T018,BACK UP WITHOUT CAUTION,BACKING W/O CAUTION,100.0
T019,DRIVE THROUGH OR PASS A BARRICADE,BARRICADE DRIV THRU,500.0
T024,BAD FOOT BRAKES,BRAKES BAD/FOOT BRAK,75.0
T025,BAD HAND BRAKES,BRAKES BAD HAND BRAK,75.0
T026,PERMIT BAD BRAKES,BRAKE PERMT BAD BRAK,25.0
T027,FAIL TO USE HAND BRAKE,BRAKE N/USE HAND BRK,15.0
T028,VIOLATE BRIDGE LOAD LIMIT,BRIDGE LOAD LMT VIOL,100.0
T035,INTERFERE WITH TRAFFIC WHEN PULLING FROM CURB,PULL FROM CURB TRAFF,100.0
T036,FAIL TO BACK INTO PARKING SPACE,PARK SPACE NO BACKIN,10.0
T038,ENTER A BLOCK WITH FIRE APPARATUS PRESENT,FIRE APPR ENT BLOCKW,50.0
T039,FAIL TO PULL OVER FOR FIRE APPARATUS,FIRE APARA N/PULLOVR,150.0
T040,FOLLOW WITHIN FIVE HUNDRED FEET OF FIRE APPARATUS,FIRE APPR W/IN 500FT,100.0
T042,DRIVE OVER A FIRE HOSE,FIRE HOSE DRIVE OVER,50.0
T043,FOLLOW A VEHICLE TOO CLOSELY,FOLLOW VEHICLE CLOSE,100.0
T045,NO REAR MIRROR ON A MOTORCYCLE,MOTORCYCLE N/R MIRR,25.0
T046,NO OR DEFECTIVE SPEEDOMETER ON A MINIBIKE,MINIBIKE N/SPEEDMETR,15.0
T047,OPERATING A MINIBIKE WHILE UNLICENSED,MINIBIKE N/DC PERMIT,50.0
T048,OPERATE UNSAFE VEHICLE,OPER UNSAFE VEHICLE,50.0
T049,CARRY PASSENGER OR FAIL TO RIDE ON SEAT,MINIBIKE OPER WO ACC,25.0
T050,OPERATE UNREGISTERED MOTOR DRIVEN CYCLE,UNREG MTR DRIVEN CYC,50.0
T051,DRIVE OVER A SIDEWALK,SIDEWALK DRIVE OVER,50.0
